,Names,tags
926,롯데손해보험,보험
927,한화손해보험,보험
928,미래에셋생명,보험
929,흥국화재2우B,보험
930,흥국화재우,보험
931,흥국화재,보험
932,에이플러스에셋,보험
933,인카금융서비스,보험
934,SK디앤디,부동산
935,한국토지신탁,부동산
936,동원개발,부동산
937,자이에스앤디,부동산
938,해성산업,부동산
939,리파인,부동산
940,마스턴프리미어리츠,부동산
941,이스타코,부동산
942,KD건설,부동산
943,Haesung Industrial Prf,부동산
944,롯데리츠,부동산
945,ESR켄달스퀘어리츠,부동산
946,SK리츠,부동산
947,제이알글로벌,부동산
948,신한알파리츠,부동산
949,코람코에너지,부동산
950,한국자산신탁,부동산
951,맵스리얼티1,부동산
952,이리츠코크렙,부동산
953,디앤디플랫폼리츠,부동산
954,신한서부티엔디리츠,부동산
955,코람코더원리츠,부동산
956,NH올원리츠,부동산
957,이지스밸류플러스리츠,부동산
958,미래에셋글로벌리츠,부동산
959,이지스레지던스리츠,부동산
960,Nh Prime,부동산
961,미래에셋맵스리츠,부동산
962,케이탑리츠,부동산
963,모두투어리츠,부동산
964,에이리츠,부동산
965,셀트리온,생명
966,SK바사,생명
967,알테오젠,생명
968,녹십자웰빙,생명
969,녹십자홀딩스2우,생명
970,씨젠,생명
971,휴젤,생명
972,신라젠,생명
973,네이처셀,생명
974,에이비엘바이오,생명
975,지씨셀,생명
976,진원생명과학,생명
977,녹십자홀딩스,생명
978,메디톡스,생명
979,바이오니아,생명
980,제넥신,생명
981,박셀바이오,생명
982,파미셀,생명
983,파마리서치프로덕트,생명
984,엔케이맥스,생명
985,메드팩토,생명
986,엘앤씨바이오,생명
987,헬릭스미스,생명
988,코오롱티슈진,생명
989,유바이오로직스,생명
990,한국비엔씨,생명
991,툴젠,생명
992,아미코젠,생명
993,HLB테라퓨틱스,생명
994,보로노이,생명
995,큐리언트,생명
996,티움바이오,생명
997,인트론바이오,생명
998,싸이토젠,생명
999,압타바이오,생명
1000,앱클론,생명
1001, 올릭스,생명
1002,지놈앤컴퍼니,생명
1003,유틸렉스,생명
1004,크리스탈지노믹스,생명
1005,Dx Vx,생명
1006,지노믹트리,생명
1007,고바이오랩,생명
1008,이수앱지스,생명
1009,나이벡,생명
1010,랩지노믹스,생명
1011,큐라클,생명
1012,프레스티지바이오로직스,생명
1013,브릿지바이오테라퓨틱스,생명
1014,아이진,생명
1015,셀트리온,생명
1016,SK바사,생명
1017,알테오젠,생명
1018,녹십자웰빙,생명
1019,녹십자홀딩스2우,생명
1020,씨젠,생명
1021,휴젤,생명
1022,신라젠,생명
1023,네이처셀,생명
1024,에이비엘바이오,생명
1025,지씨셀,생명
1026,진원생명과학,생명
1027,녹십자홀딩스,생명
1028,메디톡스,생명
1029,바이오니아,생명
1030,제넥신,생명
1031,박셀바이오,생명
1032,파미셀,생명
1033,파마리서치프로덕트,생명
1034,엔케이맥스,생명
1035,메드팩토,생명
1036,엘앤씨바이오,생명
1037,헬릭스미스,생명
1038,코오롱티슈진,생명
1039,유바이오로직스,생명
1040,한국비엔씨,생명
1041,툴젠,생명
1042,아미코젠,생명
1043,HLB테라퓨틱스,생명
1044,보로노이,생명
1045,큐리언트,생명
1046,티움바이오,생명
1047,인트론바이오,생명
1048,싸이토젠,생명
1049,압타바이오,생명
1050,앱클론,생명
1051, 올릭스,생명
1052,지놈앤컴퍼니,생명
1053,유틸렉스,생명
1054,크리스탈지노믹스,생명
1055,Dx Vx,생명
1056,지노믹트리,생명
1057,고바이오랩,생명
1058,이수앱지스,생명
1059,나이벡,생명
1060,랩지노믹스,생명
1061,큐라클,생명
1062,프레스티지바이오로직스,생명
1063,브릿지바이오테라퓨틱스,생명
1064,아이진,생명
1065,에이비온,생명
1066,선바이오,생명
1067,비엘,생명
1068,바이오에프디엔씨,생명
1069,셀리드,생명
1070,안트로젠,생명
1071,올리패스,생명
1072,차백신연구소,생명
1073,코아스템,생명
1074,카이노스메드,생명
1075,바이젠셀,생명
1076,에이프릴바이오,생명
1077,소마젠,생명
1078,테고사이언스,생명
1079,옵티팜,생명
1080,내츄럴엔도텍,생명
1081,강스템바이오텍,생명
1082,바이오솔루션,생명
1083,퀀타매트릭스,생명
